Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue,Cultivar,Strain,type-material,Ecotype
SRR8617277,8-week-old,RNA-Seq,75,418077771,PRJNA524006,SAMN10995018,159903238,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416227,GSM3619424,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619424,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617278,8-week-old,RNA-Seq,75,411979690,PRJNA524006,SAMN10995018,157559077,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416227,GSM3619424,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619424,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617279,8-week-old,RNA-Seq,75,423692898,PRJNA524006,SAMN10995018,162814392,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416227,GSM3619424,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619424,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617280,8-week-old,RNA-Seq,75,424741198,PRJNA524006,SAMN10995018,163533132,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416227,GSM3619424,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619424,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617281,8-week-old,RNA-Seq,75,435660416,PRJNA524006,SAMN10995017,166021622,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416228,GSM3619425,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619425,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617282,8-week-old,RNA-Seq,75,427851533,PRJNA524006,SAMN10995017,163014894,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416228,GSM3619425,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619425,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617283,8-week-old,RNA-Seq,75,440915593,PRJNA524006,SAMN10995017,168862600,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416228,GSM3619425,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619425,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617284,8-week-old,RNA-Seq,75,440756511,PRJNA524006,SAMN10995017,169114431,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416228,GSM3619425,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619425,whole root systems,SRP186731,root,Jemalong A17,,,
SRR8617285,8-week-old,RNA-Seq,75,417931082,PRJNA524006,SAMN10995016,159836833,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416229,GSM3619426,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619426,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617286,8-week-old,RNA-Seq,75,410276766,PRJNA524006,SAMN10995016,156821999,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416229,GSM3619426,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619426,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
