Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue,treatments,Time
SRR9623130,RNA-Seq,75,730428280,PRJNA552042,SAMN12173183,263545217,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6385651,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913001,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,0h
SRR9623131,RNA-Seq,75,922071566,PRJNA552042,SAMN12173182,336234290,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385652,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913002,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,0h
SRR9623132,RNA-Seq,75,690192237,PRJNA552042,SAMN12173180,248461526,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6385653,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913003,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,0h
SRR9623133,RNA-Seq,75,991375043,PRJNA552042,SAMN12173179,364739124,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6385654,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913004,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,0h
SRR9623134,RNA-Seq,75,714385033,PRJNA552042,SAMN12173178,255396874,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6385655,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913005,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,0h
SRR9623135,RNA-Seq,75,911584416,PRJNA552042,SAMN12173177,324717154,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6385656,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913006,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,0h
SRR9623136,RNA-Seq,74,804410265,PRJNA552042,SAMN12173181,287810081,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385657,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913007,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,0h
SRR9623137,RNA-Seq,75,708833344,PRJNA552042,SAMN12173176,255260520,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6385658,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913008,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,0h
SRR9623138,RNA-Seq,75,1031828087,PRJNA552042,SAMN12173175,368622507,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6385659,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913009,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,2h
SRR9623139,RNA-Seq,75,1005417084,PRJNA552042,SAMN12173174,358177449,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6385660,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913010,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,2h
