name,srx,platform,layout,ilength,srr,spots,bases
ENOD12_EV1/EM1F,SRX9902532,ILLUMINA,PAIRED,,SRR13489932,"22,440,644",4
ENOD12_EV2/EM2F,SRX9902534,ILLUMINA,PAIRED,,SRR13489930,"22,455,073",4
ENOD12_EV3/EM3F,SRX9902535,ILLUMINA,PAIRED,,SRR13489929,"21,621,187",4
GSM1658543,SRX996334,ILLUMINA,PAIRED,,SRR1975014,"66,943,113",13
GSM1658544,SRX996335,ILLUMINA,PAIRED,,SRR1975015,"62,434,003",12
GSM1658545,SRX996336,ILLUMINA,PAIRED,,SRR1975016,"59,877,794",11
GSM1658546,SRX996337,ILLUMINA,PAIRED,,SRR1975017,"54,367,812",10
GSM1658547,SRX996338,ILLUMINA,PAIRED,,SRR1975018,"57,712,383",11
GSM1658548,SRX996339,ILLUMINA,PAIRED,,SRR1975019,"65,248,329",13
GSM3619424,SRX5416227,ILLUMINA,SINGLE,,SRR8617277,"5,545,356",418
GSM3619424,SRX5416227,ILLUMINA,SINGLE,,SRR8617278,"5,464,321",411
GSM3619424,SRX5416227,ILLUMINA,SINGLE,,SRR8617279,"5,619,867",423
GSM3619424,SRX5416227,ILLUMINA,SINGLE,,SRR8617280,"5,633,613",424
GSM3619425,SRX5416228,ILLUMINA,SINGLE,,SRR8617282,"5,673,663",427
GSM3619425,SRX5416228,ILLUMINA,SINGLE,,SRR8617281,"5,777,396",435
GSM3619425,SRX5416228,ILLUMINA,SINGLE,,SRR8617283,"5,847,089",440
GSM3619425,SRX5416228,ILLUMINA,SINGLE,,SRR8617284,"5,844,948",440
GSM3619426,SRX5416229,ILLUMINA,SINGLE,,SRR8617285,"5,542,138",417
GSM3619426,SRX5416229,ILLUMINA,SINGLE,,SRR8617286,"5,440,406",410
GSM3619426,SRX5416229,ILLUMINA,SINGLE,,SRR8617287,"5,621,572",423
GSM3619426,SRX5416229,ILLUMINA,SINGLE,,SRR8617288,"5,616,040",423
GSM3619427,SRX5416230,ILLUMINA,SINGLE,,SRR8617291,"5,772,760",435
GSM3619427,SRX5416230,ILLUMINA,SINGLE,,SRR8617292,"5,763,159",434
GSM3619427,SRX5416230,ILLUMINA,SINGLE,,SRR8617289,"5,701,569",429
GSM3619427,SRX5416230,ILLUMINA,SINGLE,,SRR8617290,"5,588,447",421
GSM3619428,SRX5416231,ILLUMINA,SINGLE,,SRR8617293,"5,819,903",438
GSM3619428,SRX5416231,ILLUMINA,SINGLE,,SRR8617294,"5,703,123",430
GSM3619428,SRX5416231,ILLUMINA,SINGLE,,SRR8617295,"5,880,283",443
GSM3619428,SRX5416231,ILLUMINA,SINGLE,,SRR8617296,"5,873,447",443
GSM3619429,SRX5416232,ILLUMINA,SINGLE,,SRR8617299,"5,695,266",429
GSM3619429,SRX5416232,ILLUMINA,SINGLE,,SRR8617297,"5,622,726",424
GSM3619429,SRX5416232,ILLUMINA,SINGLE,,SRR8617298,"5,522,536",416
GSM3619429,SRX5416232,ILLUMINA,SINGLE,,SRR8617300,"5,694,576",429
GSM3619430,SRX5416233,ILLUMINA,SINGLE,,SRR8617302,"5,708,722",430
GSM3619430,SRX5416233,ILLUMINA,SINGLE,,SRR8617301,"5,806,622",438
GSM3619430,SRX5416233,ILLUMINA,SINGLE,,SRR8617303,"5,873,049",443
GSM3619430,SRX5416233,ILLUMINA,SINGLE,,SRR8617304,"5,876,780",443
GSM3619431,SRX5416234,ILLUMINA,SINGLE,,SRR8617305,"5,788,438",436
GSM3619431,SRX5416234,ILLUMINA,SINGLE,,SRR8617307,"5,863,126",442
GSM3619431,SRX5416234,ILLUMINA,SINGLE,,SRR8617308,"5,870,621",442
GSM3619431,SRX5416234,ILLUMINA,SINGLE,,SRR8617306,"5,684,671",428
GSM3619432,SRX5416235,ILLUMINA,SINGLE,,SRR8617309,"5,357,136",403
GSM3619432,SRX5416235,ILLUMINA,SINGLE,,SRR8617310,"5,227,729",394
GSM3619432,SRX5416235,ILLUMINA,SINGLE,,SRR8617311,"5,382,423",405
GSM3619432,SRX5416235,ILLUMINA,SINGLE,,SRR8617312,"5,377,214",405
GSM3619433,SRX5416236,ILLUMINA,SINGLE,,SRR8617314,"5,624,207",424
GSM3619433,SRX5416236,ILLUMINA,SINGLE,,SRR8617315,"5,795,241",437
GSM3619433,SRX5416236,ILLUMINA,SINGLE,,SRR8617313,"5,731,830",432
GSM3619433,SRX5416236,ILLUMINA,SINGLE,,SRR8617316,"5,793,009",436
GSM3619434,SRX5416237,ILLUMINA,SINGLE,,SRR8617318,"5,316,177",401
GSM3619434,SRX5416237,ILLUMINA,SINGLE,,SRR8617317,"5,437,849",410
GSM3619434,SRX5416237,ILLUMINA,SINGLE,,SRR8617319,"5,471,760",412
GSM3619434,SRX5416237,ILLUMINA,SINGLE,,SRR8617320,"5,460,686",411
GSM3619435,SRX5416238,ILLUMINA,SINGLE,,SRR8617321,"5,831,456",439
GSM3619435,SRX5416238,ILLUMINA,SINGLE,,SRR8617322,"5,720,101",431
GSM3619435,SRX5416238,ILLUMINA,SINGLE,,SRR8617323,"5,899,940",445
GSM3619435,SRX5416238,ILLUMINA,SINGLE,,SRR8617324,"5,902,464",445
GSM3619436,SRX5416239,ILLUMINA,SINGLE,,SRR8617325,"5,911,055",445
GSM3619436,SRX5416239,ILLUMINA,SINGLE,,SRR8617326,"5,801,159",437
GSM3619436,SRX5416239,ILLUMINA,SINGLE,,SRR8617327,"5,983,925",451
GSM3619436,SRX5416239,ILLUMINA,SINGLE,,SRR8617328,"5,981,418",451
GSM3619437,SRX5416240,ILLUMINA,SINGLE,,SRR8617329,"5,751,698",434
GSM3619437,SRX5416240,ILLUMINA,SINGLE,,SRR8617331,"5,830,503",439
GSM3619437,SRX5416240,ILLUMINA,SINGLE,,SRR8617330,"5,666,281",427
GSM3619437,SRX5416240,ILLUMINA,SINGLE,,SRR8617332,"5,841,254",440
GSM3619438,SRX5416241,ILLUMINA,SINGLE,,SRR8617333,"6,055,127",456
GSM3619438,SRX5416241,ILLUMINA,SINGLE,,SRR8617336,"6,130,733",462
GSM3619438,SRX5416241,ILLUMINA,SINGLE,,SRR8617334,"5,946,684",448
GSM3619438,SRX5416241,ILLUMINA,SINGLE,,SRR8617335,"6,136,138",463
GSM3619439,SRX5416242,ILLUMINA,SINGLE,,SRR8617337,"5,880,741",443
GSM3619439,SRX5416242,ILLUMINA,SINGLE,,SRR8617340,"5,953,992",449
GSM3619439,SRX5416242,ILLUMINA,SINGLE,,SRR8617338,"5,784,028",436
GSM3619439,SRX5416242,ILLUMINA,SINGLE,,SRR8617339,"5,953,540",449
GSM3913001,SRX6385651,ILLUMINA,SINGLE,,SRR9623130,"9,686,625",730
GSM3913002,SRX6385652,ILLUMINA,SINGLE,,SRR9623131,"12,223,512",922
GSM3913003,SRX6385653,ILLUMINA,SINGLE,,SRR9623132,"9,148,071",690
GSM3913004,SRX6385654,ILLUMINA,SINGLE,,SRR9623133,"13,139,756",991
GSM3913005,SRX6385655,ILLUMINA,SINGLE,,SRR9623134,"9,470,586",714
GSM3913006,SRX6385656,ILLUMINA,SINGLE,,SRR9623135,"12,083,079",911
GSM3913007,SRX6385657,ILLUMINA,SINGLE,,SRR9623136,"10,727,760",804
GSM3913008,SRX6385658,ILLUMINA,SINGLE,,SRR9623137,"9,395,428",708
