#Experiment,Sample_Name,Bases
SRX996334,GSM1658543,13304932477
SRX996335,GSM1658544,12454243260
SRX996336,GSM1658545,11917312913
SRX996337,GSM1658546,10868791156
SRX996338,GSM1658547,11533197799
SRX996339,GSM1658548,13000250427
SRX5416227,GSM3619424,424741198
SRX5416228,GSM3619425,440915593
SRX5416229,GSM3619426,423929278
SRX5416230,GSM3619427,435341550
SRX5416231,GSM3619428,443538739
SRX5416232,GSM3619429,429574419
SRX5416233,GSM3619430,443341617
SRX5416234,GSM3619431,442845715
SRX5416235,GSM3619432,405816325
SRX5416236,GSM3619433,437062872
SRX5416237,GSM3619434,412800824
SRX5416238,GSM3619435,445246738
SRX5416239,GSM3619436,451364277
SRX5416240,GSM3619437,440791043
SRX5416241,GSM3619438,463037602
SRX5416242,GSM3619439,449274746
SRX6385651,GSM3913001,730428280
SRX6385652,GSM3913002,922071566
SRX6385653,GSM3913003,690192237
SRX6385654,GSM3913004,991375043
SRX6385655,GSM3913005,714385033
SRX6385656,GSM3913006,911584416
SRX6385657,GSM3913007,804410265
SRX6385658,GSM3913008,708833344
SRX6385659,GSM3913009,1031828087
SRX6385660,GSM3913010,1005417084
SRX6385661,GSM3913011,1243101203
SRX6385662,GSM3913012,979606015
SRX6385663,GSM3913013,919496137
SRX6385664,GSM3913014,870432539
SRX6385665,GSM3913015,713929749
SRX6385666,GSM3913016,917067678
SRX6385667,GSM3913017,734865041
SRX6385668,GSM3913018,721534030
SRX6385669,GSM3913019,709366473
SRX6385670,GSM3913020,926854269
SRX6385671,GSM3913021,1901811757
SRX6385672,GSM3913022,734198015
SRX6385673,GSM3913023,969162756
SRX6385674,GSM3913024,762866811
SRX6385675,GSM3913025,764803737
SRX6385676,GSM3913026,1388517284
SRX6385677,GSM3913027,842325766
SRX6385678,GSM3913028,895138402
SRX6385679,GSM3913029,699067435
SRX6385680,GSM3913030,916583612
SRX6385681,GSM3913031,891642351
SRX6385682,GSM3913032,899048871
SRX6385683,GSM3913033,992631547
SRX6385684,GSM3913034,834446995
SRX6385685,GSM3913035,1064942841
SRX6385686,GSM3913036,750681762
SRX6385687,GSM3913037,692801257
SRX6385688,GSM3913038,680813570
SRX6385689,GSM3913039,898596323
SRX6385690,GSM3913040,1328973389
SRX6385691,GSM3913041,758730234
SRX6385692,GSM3913042,776530587
SRX6385693,GSM3913043,838275091
SRX6385694,GSM3913044,893048824
SRX6385695,GSM3913045,1295163204
SRX6385696,GSM3913046,878804487
SRX6385697,GSM3913047,1045662576
SRX6385698,GSM3913048,869433471
SRX6385699,GSM3913049,882905500
SRX6385700,GSM3913050,1140167739
SRX6385701,GSM3913051,765475634
SRX6385702,GSM3913052,792159238
SRX6385703,GSM3913053,766158573
SRX6385704,GSM3913054,898990591
SRX6385705,GSM3913055,786605792
SRX6385706,GSM3913056,761995305
SRX6385707,GSM3913057,828474248
SRX6385708,GSM3913058,672714698
SRX6385709,GSM3913059,835615753
SRX6385710,GSM3913060,630847802
SRX6385711,GSM3913061,921073739
SRX6385712,GSM3913062,1000735628
SRX6385713,GSM3913063,980993761
SRX6385714,GSM3913064,1068415296
SRX6385715,GSM3913065,857998679
SRX6385716,GSM3913066,863219405
SRX6385717,GSM3913067,980833708
SRX6385718,GSM3913068,769037624
SRX6385719,GSM3913069,768065002
SRX6385720,GSM3913070,962479719
SRX6385721,GSM3913071,856015382
SRX6385722,GSM3913072,823129008
SRX6385723,GSM3913073,819385534
SRX6385724,GSM3913074,815308587
SRX6385725,GSM3913075,1050939624
SRX6385726,GSM3913076,1015774471
SRX6385727,GSM3913077,959355697
SRX6385728,GSM3913078,1015284332
SRX6385729,GSM3913079,977745610
SRX6385730,GSM3913080,1096933858
SRX6385731,GSM3913081,1008399546
SRX6385732,GSM3913082,963154958
SRX6385733,GSM3913083,929761323
SRX6385734,GSM3913084,925067416
SRX6385735,GSM3913085,1032212497
SRX6385736,GSM3913086,882940900
SRX6385737,GSM3913087,650868893
SRX6385738,GSM3913088,652374396
SRX6385739,GSM3913089,766394386
SRX6385740,GSM3913090,993844696
SRX6385741,GSM3913091,821684849
SRX6385742,GSM3913092,797261501
SRX6385743,GSM3913093,912577629
SRX6385744,GSM3913094,641642486
SRX6385745,GSM3913095,709955217
SRX6385746,GSM3913096,863926448
SRX6385747,GSM3913097,1067622303
SRX6385748,GSM3913098,967154325
SRX6385749,GSM3913099,925418973
SRX6385750,GSM3913100,1017461931
SRX6385751,GSM3913101,686831903
SRX6385752,GSM3913102,844384002
SRX6385753,GSM3913103,1194852297
SRX6385754,GSM3913104,696210469
SRX6385755,GSM3913105,717493814
SRX6385756,GSM3913106,662163046
SRX6385757,GSM3913107,758121863
SRX6385758,GSM3913108,764433601
SRX6385759,GSM3913109,995927606
SRX6385760,GSM3913110,732961882
SRX6385761,GSM3913111,709013842
SRX6385762,GSM3913112,690229001
SRX6385763,GSM3913113,854159223
SRX6385764,GSM3913114,859620209
SRX6385765,GSM3913115,878653402
SRX6385766,GSM3913116,688698888
SRX6385767,GSM3913117,841242966
SRX6385768,GSM3913118,767090856
SRX6385769,GSM3913119,893271304
SRX6385770,GSM3913120,799097695
SRX6385771,GSM3913121,1118815584
SRX6385772,GSM3913122,1160297747
SRX6385773,GSM3913123,851442951
SRX6385774,GSM3913124,908876436
SRX6385775,GSM3913125,793560311
SRX6385776,GSM3913126,924304858
SRX6385777,GSM3913127,912635685
SRX6385778,GSM3913128,896173310
SRX6385779,GSM3913129,872466516
SRX6385780,GSM3913130,1097971868
SRX6385781,GSM3913131,983027036
SRX6385782,GSM3913132,1142933136
SRX6385783,GSM3913133,867461667
SRX6385784,GSM3913134,889817202
SRX6385785,GSM3913135,942533376
SRX6385786,GSM3913136,1097005954
SRX6385787,GSM3913137,1379337599
SRX6385788,GSM3913138,992999548
SRX6385789,GSM3913139,875351325
SRX6385790,GSM3913140,921552473
SRX6385791,GSM3913141,770029307
SRX6385792,GSM3913142,819870509
SRX6385793,GSM3913143,1201744082
SRX6385794,GSM3913144,725154639
SRX6385795,GSM3913145,772857690
SRX6385796,GSM3913146,766194848
SRX6385797,GSM3913147,780113639
SRX6385798,GSM3913148,1328296051
SRX6385799,GSM3913149,902897947
SRX6385800,GSM3913150,769904133
SRX6385801,GSM3913151,1395906890
SRX6385802,GSM3913152,1605200598
SRX6385803,GSM3913153,988670988
SRX6385804,GSM3913154,907254395
SRX6385805,GSM3913155,799908525
SRX6385806,GSM3913156,873586050
SRX6385807,GSM3913157,872519719
SRX6385808,GSM3913158,773397565
SRX6385809,GSM3913159,6561847284
SRX6385810,GSM3913160,6395245016
SRX6385811,GSM3913161,6651328615
SRX6385812,GSM3913162,7958580330
SRX6385813,GSM3913163,11063614168
SRX6385814,GSM3913164,20781130984
SRX6385815,GSM3913165,7115804936
SRX6385816,GSM3913166,8976903190
SRX6385817,GSM3913167,6703687884
SRX6385818,GSM3913168,6583608379
SRX6385819,GSM3913169,6285740828
SRX6385820,GSM3913170,8489734910
SRX6385821,GSM3913171,6979062960
SRX6385822,GSM3913172,6576355724
SRX6385823,GSM3913173,10175442436
SRX6385824,GSM3913174,6829583040
SRX6385825,GSM3913175,7544957204
SRX6385826,GSM3913176,6649431698
SRX6385827,GSM3913177,6086457868
SRX6385828,GSM3913178,6872404714
SRX6385829,GSM3913179,7516698158
SRX6385830,GSM3913180,6064013832
SRX6385831,GSM3913181,7796832150
SRX6385840,GSM3913190,880194058
SRX6385841,GSM3913191,861488818
SRX6385842,GSM3913192,955155876
SRX6385843,GSM3913193,826318465
SRX6385844,GSM3913194,1052360504
SRX6385845,GSM3913195,916457916
SRX6385846,GSM3913196,709593949
SRX6385847,GSM3913197,827257555
SRX6385848,GSM3913198,1101648715
SRX6385849,GSM3913199,1231321380
SRX6385850,GSM3913200,1024725725
SRX6385851,GSM3913201,1066813210
